country,first_year_train,last_year_train,sex,max_age,forecast_horizon,log_score,date,time,model
sweden,1931,1990,Male,100,1,-541.3817944102152,02/12/2023,16:12:33,LC
sweden,1931,1990,Male,100,2,-545.6960750917966,02/12/2023,16:12:33,LC
sweden,1931,1990,Male,100,3,-566.2493222400926,02/12/2023,16:12:33,LC
sweden,1931,1990,Male,100,4,-684.0864411503223,02/12/2023,16:12:33,LC
sweden,1931,1990,Male,100,5,-645.7236116773964,02/12/2023,16:12:33,LC
sweden,1931,1990,Male,100,6,-694.8245175618699,02/12/2023,16:12:33,LC
sweden,1931,1990,Male,100,7,-720.0194535723411,02/12/2023,16:12:33,LC
sweden,1931,1990,Male,100,8,-748.7859992856348,02/12/2023,16:12:33,LC
sweden,1931,1990,Male,100,9,-787.76318031326025,02/12/2023,16:12:33,LC
sweden,1931,1990,Male,100,10,-894.5355888160378,02/12/2023,16:12:33,LC
sweden,1932,1991,Male,100,1,-533.7712558997702,02/13/2023,16:13:37,LC
sweden,1932,1991,Male,100,2,-552.213994741265,02/13/2023,16:13:37,LC
sweden,1932,1991,Male,100,3,-668.8731845730489,02/13/2023,16:13:37,LC
sweden,1932,1991,Male,100,4,-627.3629617787113,02/13/2023,16:13:37,LC
sweden,1932,1991,Male,100,5,-670.7551282206118,02/13/2023,16:13:37,LC
sweden,1932,1991,Male,100,6,-694.5630785828275,02/13/2023,16:13:37,LC
sweden,1932,1991,Male,100,7,-723.7837369282013,02/13/2023,16:13:37,LC
sweden,1932,1991,Male,100,8,-774.5585664525298,02/13/2023,16:13:37,LC
sweden,1932,1991,Male,100,9,-892.2509011664911,02/13/2023,16:13:37,LC
sweden,1932,1991,Male,100,10,-975.9366239518297,02/13/2023,16:13:37,LC
sweden,1933,1992,Male,100,1,-542.2899715606654,02/14/2023,16:14:41,LC
sweden,1933,1992,Male,100,2,-616.3476497248203,02/14/2023,16:14:41,LC
sweden,1933,1992,Male,100,3,-576.7007884640175,02/14/2023,16:14:41,LC
sweden,1933,1992,Male,100,4,-614.0086673074759,02/14/2023,16:14:41,LC
sweden,1933,1992,Male,100,5,-633.8082380998393,02/14/2023,16:14:41,LC
sweden,1933,1992,Male,100,6,-658.5613004752854,02/14/2023,16:14:41,LC
sweden,1933,1992,Male,100,7,-696.3853602813058,02/14/2023,16:14:41,LC
sweden,1933,1992,Male,100,8,-790.3637731612287,02/14/2023,16:14:41,LC
sweden,1933,1992,Male,100,9,-853.2055295420286,02/14/2023,16:14:41,LC
sweden,1933,1992,Male,100,10,-852.0224701934172,02/14/2023,16:14:41,LC
sweden,1934,1993,Male,100,1,-614.3371718539362,02/15/2023,16:15:46,LC
sweden,1934,1993,Male,100,2,-567.158528092573,02/15/2023,16:15:46,LC
sweden,1934,1993,Male,100,3,-599.8347961747096,02/15/2023,16:15:46,LC
sweden,1934,1993,Male,100,4,-618.8674973361271,02/15/2023,16:15:46,LC
sweden,1934,1993,Male,100,5,-643.7944766499494,02/15/2023,16:15:46,LC
sweden,1934,1993,Male,100,6,-674.9626659055174,02/15/2023,16:15:46,LC
sweden,1934,1993,Male,100,7,-767.5048559985588,02/15/2023,16:15:46,LC
sweden,1934,1993,Male,100,8,-817.5488420193238,02/15/2023,16:15:46,LC
sweden,1934,1993,Male,100,9,-812.1379338005087,02/15/2023,16:15:46,LC
sweden,1934,1993,Male,100,10,-812.8537528549773,02/15/2023,16:15:46,LC
sweden,1935,1994,Male,100,1,-533.7072552643401,02/16/2023,16:16:50,LC
sweden,1935,1994,Male,100,2,-536.2272955510944,02/16/2023,16:16:50,LC
sweden,1935,1994,Male,100,3,-544.0471918056951,02/16/2023,16:16:50,LC
sweden,1935,1994,Male,100,4,-566.3217339212921,02/16/2023,16:16:50,LC
sweden,1935,1994,Male,100,5,-589.6819093041532,02/16/2023,16:16:50,LC
sweden,1935,1994,Male,100,6,-654.1642596563001,02/16/2023,16:16:50,LC
sweden,1935,1994,Male,100,7,-690.2581608555315,02/16/2023,16:16:50,LC
sweden,1935,1994,Male,100,8,-679.788229023957,02/16/2023,16:16:50,LC
sweden,1935,1994,Male,100,9,-667.9204019215819,02/16/2023,16:16:50,LC
sweden,1935,1994,Male,100,10,-754.1766734216565,02/16/2023,16:16:50,LC
sweden,1936,1995,Male,100,1,-524.2550082668458,02/17/2023,16:17:54,LC
sweden,1936,1995,Male,100,2,-535.2159812276291,02/17/2023,16:17:54,LC
sweden,1936,1995,Male,100,3,-554.8966290232137,02/17/2023,16:17:54,LC
sweden,1936,1995,Male,100,4,-573.882903492273,02/17/2023,16:17:54,LC
sweden,1936,1995,Male,100,5,-637.731143008517,02/17/2023,16:17:54,LC
sweden,1936,1995,Male,100,6,-669.1394294890276,02/17/2023,16:17:54,LC
sweden,1936,1995,Male,100,7,-664.4590983249152,02/17/2023,16:17:54,LC
sweden,1936,1995,Male,100,8,-645.93385261826,02/17/2023,16:17:54,LC
sweden,1936,1995,Male,100,9,-736.6127651066673,02/17/2023,16:17:54,LC
sweden,1936,1995,Male,100,10,-718.5841083212244,02/17/2023,16:17:54,LC
sweden,1937,1996,Male,100,1,-520.7933329291295,02/18/2023,16:18:58,LC
sweden,1937,1996,Male,100,2,-536.6611971711807,02/18/2023,16:18:58,LC
sweden,1937,1996,Male,100,3,-551.5265976420144,02/18/2023,16:18:58,LC
sweden,1937,1996,Male,100,4,-609.5018295528963,02/18/2023,16:18:58,LC
sweden,1937,1996,Male,100,5,-637.3950420828,02/18/2023,16:18:58,LC
sweden,1937,1996,Male,100,6,-634.659996146441,02/18/2023,16:18:58,LC
sweden,1937,1996,Male,100,7,-614.3290483051776,02/18/2023,16:18:58,LC
sweden,1937,1996,Male,100,8,-683.4223078858345,02/18/2023,16:18:58,LC
sweden,1937,1996,Male,100,9,-676.6599622922002,02/18/2023,16:18:58,LC
sweden,1937,1996,Male,100,10,-708.994262680272,02/18/2023,16:18:58,LC
sweden,1938,1997,Male,100,1,-527.2836889053816,02/20/2023,16:20:02,LC
sweden,1938,1997,Male,100,2,-538.3822962972176,02/20/2023,16:20:02,LC
sweden,1938,1997,Male,100,3,-594.5135918504503,02/20/2023,16:20:02,LC
sweden,1938,1997,Male,100,4,-611.041050972762,02/20/2023,16:20:02,LC
sweden,1938,1997,Male,100,5,-614.8673786043986,02/20/2023,16:20:02,LC
sweden,1938,1997,Male,100,6,-589.8209151117476,02/20/2023,16:20:02,LC
sweden,1938,1997,Male,100,7,-656.8855286049608,02/20/2023,16:20:02,LC
sweden,1938,1997,Male,100,8,-651.5704984608911,02/20/2023,16:20:02,LC
sweden,1938,1997,Male,100,9,-666.8099407914077,02/20/2023,16:20:02,LC
sweden,1938,1997,Male,100,10,-715.3049177537545,02/20/2023,16:20:02,LC
sweden,1939,1998,Male,100,1,-529.5932825698659,02/21/2023,16:21:06,LC
sweden,1939,1998,Male,100,2,-581.7487915704701,02/21/2023,16:21:06,LC
sweden,1939,1998,Male,100,3,-599.5035598032406,02/21/2023,16:21:06,LC
sweden,1939,1998,Male,100,4,-602.6933099671804,02/21/2023,16:21:06,LC
sweden,1939,1998,Male,100,5,-575.2991627137501,02/21/2023,16:21:06,LC
sweden,1939,1998,Male,100,6,-633.011818288708,02/21/2023,16:21:06,LC
sweden,1939,1998,Male,100,7,-628.6224289113841,02/21/2023,16:21:06,LC
sweden,1939,1998,Male,100,8,-642.4414187812276,02/21/2023,16:21:06,LC
sweden,1939,1998,Male,100,9,-681.734289207888,02/21/2023,16:21:06,LC
sweden,1939,1998,Male,100,10,-682.9047480751304,02/21/2023,16:21:06,LC
sweden,1940,1999,Male,100,1,-569.470322590596,02/22/2023,16:22:10,LC
sweden,1940,1999,Male,100,2,-584.4688180549188,02/22/2023,16:22:10,LC
sweden,1940,1999,Male,100,3,-586.9533985689849,02/22/2023,16:22:10,LC
sweden,1940,1999,Male,100,4,-559.057175214987,02/22/2023,16:22:10,LC
sweden,1940,1999,Male,100,5,-619.9591117115118,02/22/2023,16:22:10,LC
sweden,1940,1999,Male,100,6,-613.5898666718954,02/22/2023,16:22:10,LC
sweden,1940,1999,Male,100,7,-626.5727388863696,02/22/2023,16:22:10,LC
sweden,1940,1999,Male,100,8,-659.7852164937477,02/22/2023,16:22:10,LC
sweden,1940,1999,Male,100,9,-672.1942903737915,02/22/2023,16:22:10,LC
sweden,1940,1999,Male,100,10,-738.3436729228048,02/22/2023,16:22:10,LC
sweden,1941,2000,Male,100,1,-574.5859519882055,02/23/2023,16:23:16,LC
sweden,1941,2000,Male,100,2,-572.6008087736978,02/23/2023,16:23:16,LC
sweden,1941,2000,Male,100,3,-539.0451024419392,02/23/2023,16:23:16,LC
sweden,1941,2000,Male,100,4,-579.5848763516192,02/23/2023,16:23:16,LC
sweden,1941,2000,Male,100,5,-583.090399830608,02/23/2023,16:23:16,LC
sweden,1941,2000,Male,100,6,-589.3104887114545,02/23/2023,16:23:16,LC
sweden,1941,2000,Male,100,7,-613.7307667251881,02/23/2023,16:23:16,LC
sweden,1941,2000,Male,100,8,-624.8362830208165,02/23/2023,16:23:16,LC
sweden,1941,2000,Male,100,9,-689.5745670703042,02/23/2023,16:23:16,LC
sweden,1941,2000,Male,100,10,-644.928557241763,02/23/2023,16:23:16,LC
sweden,1942,2001,Male,100,1,-568.3666897867288,02/24/2023,16:24:21,LC
sweden,1942,2001,Male,100,2,-533.400101469449,02/24/2023,16:24:21,LC
sweden,1942,2001,Male,100,3,-562.922528850692,02/24/2023,16:24:21,LC
sweden,1942,2001,Male,100,4,-569.9551587935179,02/24/2023,16:24:21,LC
sweden,1942,2001,Male,100,5,-574.7759761513896,02/24/2023,16:24:21,LC
sweden,1942,2001,Male,100,6,-598.76865665782,02/24/2023,16:24:21,LC
sweden,1942,2001,Male,100,7,-609.1596805286143,02/24/2023,16:24:21,LC
sweden,1942,2001,Male,100,8,-680.587544909616,02/24/2023,16:24:21,LC
sweden,1942,2001,Male,100,9,-631.2591230690557,02/24/2023,16:24:21,LC
sweden,1942,2001,Male,100,10,-658.8853238882705,02/24/2023,16:24:21,LC
sweden,1943,2002,Male,100,1,-517.269452667189,02/25/2023,16:25:27,LC
sweden,1943,2002,Male,100,2,-547.4203773385326,02/25/2023,16:25:27,LC
sweden,1943,2002,Male,100,3,-550.693813264748,02/25/2023,16:25:27,LC
sweden,1943,2002,Male,100,4,-555.5880199482397,02/25/2023,16:25:27,LC
sweden,1943,2002,Male,100,5,-571.7760109516937,02/25/2023,16:25:27,LC
sweden,1943,2002,Male,100,6,-583.695691091618,02/25/2023,16:25:27,LC
sweden,1943,2002,Male,100,7,-658.5595089196702,02/25/2023,16:25:27,LC
sweden,1943,2002,Male,100,8,-610.0263690948715,02/25/2023,16:25:27,LC
sweden,1943,2002,Male,100,9,-630.0243342825897,02/25/2023,16:25:27,LC
sweden,1943,2002,Male,100,10,-648.481821720367,02/25/2023,16:25:27,LC
sweden,1944,2003,Male,100,1,-526.687430253653,02/26/2023,16:26:32,LC
sweden,1944,2003,Male,100,2,-528.049290787795,02/26/2023,16:26:32,LC
sweden,1944,2003,Male,100,3,-531.7281551260661,02/26/2023,16:26:32,LC
sweden,1944,2003,Male,100,4,-549.0695262963532,02/26/2023,16:26:32,LC
sweden,1944,2003,Male,100,5,-556.5073345412384,02/26/2023,16:26:32,LC
sweden,1944,2003,Male,100,6,-630.5347399117948,02/26/2023,16:26:32,LC
sweden,1944,2003,Male,100,7,-575.2865819194573,02/26/2023,16:26:32,LC
sweden,1944,2003,Male,100,8,-594.205622847552,02/26/2023,16:26:32,LC
sweden,1944,2003,Male,100,9,-611.5117056138374,02/26/2023,16:26:32,LC
sweden,1944,2003,Male,100,10,-637.4420639940906,02/26/2023,16:26:32,LC
sweden,1945,2004,Male,100,1,-514.200623434741,02/27/2023,16:27:37,LC
sweden,1945,2004,Male,100,2,-502.83658141979765,02/27/2023,16:27:37,LC
sweden,1945,2004,Male,100,3,-496.8494968929694,02/27/2023,16:27:37,LC
sweden,1945,2004,Male,100,4,-501.68665588657984,02/27/2023,16:27:37,LC
sweden,1945,2004,Male,100,5,-568.4113873428302,02/27/2023,16:27:37,LC
sweden,1945,2004,Male,100,6,-514.4935989706981,02/27/2023,16:27:37,LC
sweden,1945,2004,Male,100,7,-524.8658765077848,02/27/2023,16:27:37,LC
sweden,1945,2004,Male,100,8,-550.8413263643201,02/27/2023,16:27:37,LC
sweden,1945,2004,Male,100,9,-566.3454602190706,02/27/2023,16:27:37,LC
sweden,1945,2004,Male,100,10,-573.6132414198672,02/27/2023,16:27:37,LC
sweden,1946,2005,Male,100,1,-480.91655187914546,02/28/2023,16:28:42,LC
sweden,1946,2005,Male,100,2,-474.95499853395665,02/28/2023,16:28:42,LC
sweden,1946,2005,Male,100,3,-479.5799786058744,02/28/2023,16:28:42,LC
sweden,1946,2005,Male,100,4,-543.452317414836,02/28/2023,16:28:42,LC
sweden,1946,2005,Male,100,5,-498.4201868031371,02/28/2023,16:28:42,LC
sweden,1946,2005,Male,100,6,-511.1077902018751,02/28/2023,16:28:42,LC
sweden,1946,2005,Male,100,7,-530.4925337099804,02/28/2023,16:28:42,LC
sweden,1946,2005,Male,100,8,-544.6510257260219,02/28/2023,16:28:42,LC
sweden,1946,2005,Male,100,9,-564.5931252767491,02/28/2023,16:28:42,LC
sweden,1946,2005,Male,100,10,-574.405953590597,02/28/2023,16:28:42,LC
sweden,1947,2006,Male,100,1,-461.07918860568367,02/29/2023,16:29:47,LC
sweden,1947,2006,Male,100,2,-460.0881125920812,02/29/2023,16:29:47,LC
sweden,1947,2006,Male,100,3,-521.1844839116661,02/29/2023,16:29:47,LC
sweden,1947,2006,Male,100,4,-472.4060997227741,02/29/2023,16:29:47,LC
sweden,1947,2006,Male,100,5,-482.5380089479807,02/29/2023,16:29:47,LC
sweden,1947,2006,Male,100,6,-500.07103549884204,02/29/2023,16:29:47,LC
sweden,1947,2006,Male,100,7,-513.4087010461903,02/29/2023,16:29:47,LC
sweden,1947,2006,Male,100,8,-526.5631796617018,02/29/2023,16:29:47,LC
sweden,1947,2006,Male,100,9,-541.8023391813373,02/29/2023,16:29:47,LC
sweden,1947,2006,Male,100,10,-538.0645104970357,02/29/2023,16:29:47,LC
sweden,1948,2007,Male,100,1,-452.095251875997,02/30/2023,16:30:53,LC
sweden,1948,2007,Male,100,2,-510.1741950935153,02/30/2023,16:30:53,LC
sweden,1948,2007,Male,100,3,-460.76709533013684,02/30/2023,16:30:53,LC
sweden,1948,2007,Male,100,4,-467.98783829394733,02/30/2023,16:30:53,LC
sweden,1948,2007,Male,100,5,-493.0941094217486,02/30/2023,16:30:53,LC
sweden,1948,2007,Male,100,6,-504.80838548188177,02/30/2023,16:30:53,LC
sweden,1948,2007,Male,100,7,-514.0537185764258,02/30/2023,16:30:53,LC
sweden,1948,2007,Male,100,8,-530.7764316802841,02/30/2023,16:30:53,LC
sweden,1948,2007,Male,100,9,-533.1504294901672,02/30/2023,16:30:53,LC
sweden,1948,2007,Male,100,10,-562.1907336790007,02/30/2023,16:30:53,LC
sweden,1949,2008,Male,100,1,-501.54112471038195,02/31/2023,16:31:57,LC
sweden,1949,2008,Male,100,2,-452.4838864223061,02/31/2023,16:31:57,LC
sweden,1949,2008,Male,100,3,-457.4059557540924,02/31/2023,16:31:57,LC
sweden,1949,2008,Male,100,4,-479.4937763522228,02/31/2023,16:31:57,LC
sweden,1949,2008,Male,100,5,-491.2658746050071,02/31/2023,16:31:57,LC
sweden,1949,2008,Male,100,6,-498.291090297066,02/31/2023,16:31:57,LC
sweden,1949,2008,Male,100,7,-514.9247606532704,02/31/2023,16:31:57,LC
sweden,1949,2008,Male,100,8,-519.5532399755764,02/31/2023,16:31:57,LC
sweden,1949,2008,Male,100,9,-543.939316606182,02/31/2023,16:31:57,LC
sweden,1949,2008,Male,100,10,-517.6190828133097,02/31/2023,16:31:57,LC
sweden,1950,2009,Male,100,1,-446.3858087652091,02/33/2023,16:33:02,LC
sweden,1950,2009,Male,100,2,-442.3776567437067,02/33/2023,16:33:02,LC
sweden,1950,2009,Male,100,3,-470.35588684249933,02/33/2023,16:33:02,LC
sweden,1950,2009,Male,100,4,-474.7549434935285,02/33/2023,16:33:02,LC
sweden,1950,2009,Male,100,5,-478.09141419685244,02/33/2023,16:33:02,LC
sweden,1950,2009,Male,100,6,-498.0077356112233,02/33/2023,16:33:02,LC
sweden,1950,2009,Male,100,7,-506.4497409198746,02/33/2023,16:33:02,LC
sweden,1950,2009,Male,100,8,-521.7387660834129,02/33/2023,16:33:02,LC
sweden,1950,2009,Male,100,9,-498.3015672121701,02/33/2023,16:33:02,LC
sweden,1950,2009,Male,100,10,-535.2935652304111,02/33/2023,16:33:02,LC
sweden,1951,2010,Male,100,1,-437.60757456518274,02/34/2023,16:34:07,LC
sweden,1951,2010,Male,100,2,-462.25158829201706,02/34/2023,16:34:07,LC
sweden,1951,2010,Male,100,3,-466.02312900284403,02/34/2023,16:34:07,LC
sweden,1951,2010,Male,100,4,-475.6721486943756,02/34/2023,16:34:07,LC
sweden,1951,2010,Male,100,5,-488.9736587342598,02/34/2023,16:34:07,LC
sweden,1951,2010,Male,100,6,-503.1023289358765,02/34/2023,16:34:07,LC
sweden,1951,2010,Male,100,7,-517.5053538912099,02/34/2023,16:34:07,LC
sweden,1951,2010,Male,100,8,-489.39885968447055,02/34/2023,16:34:07,LC
sweden,1951,2010,Male,100,9,-531.3870565015153,02/34/2023,16:34:07,LC
sweden,1951,2010,Male,100,10,-484.97782149558986,02/34/2023,16:34:07,LC
sweden,1952,2011,Male,100,1,-460.9682733031077,02/35/2023,16:35:12,LC
sweden,1952,2011,Male,100,2,-460.0065376287401,02/35/2023,16:35:12,LC
sweden,1952,2011,Male,100,3,-462.5496586784434,02/35/2023,16:35:12,LC
sweden,1952,2011,Male,100,4,-475.04961883634655,02/35/2023,16:35:12,LC
sweden,1952,2011,Male,100,5,-492.77988781700043,02/35/2023,16:35:12,LC
sweden,1952,2011,Male,100,6,-505.44948520349686,02/35/2023,16:35:12,LC
sweden,1952,2011,Male,100,7,-478.7316540642101,02/35/2023,16:35:12,LC
sweden,1952,2011,Male,100,8,-518.3211900992893,02/35/2023,16:35:12,LC
sweden,1952,2011,Male,100,9,-488.63626314915547,02/35/2023,16:35:12,LC
sweden,1952,2011,Male,100,10,-486.0265504397784,02/35/2023,16:35:12,LC
sweden,1931,1990,Male,100,1,-426.0368080618507,02/08/2023,17:08:48,PLAT
sweden,1931,1990,Male,100,2,-421.7151610867832,02/08/2023,17:08:48,PLAT
